word,count
didn’t,1
marshal,1
indict,1
specific,1
"do…',",1
@DeadlineWH:,1
statements,1
seeing,1
"e…',",1
@jackholmes0:,1
Report,1
TOTALLY,1
EXONERATED,1
he'd,1
parading,1
White,1
House,1
lawn,1
ISIS,1
map.,1
"Inst…"""",",1
'@nytimes,1
@smartdissent,1
everyone…,1
"https://t.co/WJT3Klesn0',",1
@xogabiiv:,1
Y’all,1
home,1
girl,1
@xnormzx,1
something,1
thing.,1
Go,1
support,1
sign.,1
J.,1
Trump:,1
EveryONE,1
worth,1
"it,…',",1
disgusting,1
it.\n\nCongress,1
must,1
block,1
Betsy,1
DeVos',1
"attempts…"""",",1
@Garymarcy2:,1
love,1
"country,",1
even,1
her,1
faults,1
she,1
stands,1
PROUD!!!,1
Through,1
life,1
bad,1
o,1
gove,1
GOD,1
thanks,1
"sendi…',",1
@huseyinbozan:,1
Suriye,1
Türkmen,1
Meclisi:,1
ABD,1
başkanı,1
Trump'in,1
Tepeleri'nde,1
İsrail,1
egemenliğini,1
taşıyan,1
başkanlık,1
"kararnamesin…"""",",1
@djrothkopf:,1
@davidgura,1
record--there,1
plenty,1
"traitor,",1
betrayed,1
"c…',",1
'@maggieNYT,1
@MalcolmNance,1
MITCH,1
MCCONNELL,1
IT.,1
BLOCKED,1
CONGRESS.\nWILLIAM,1
BARR,1
IT.\nBLOCKED,1
AND,1
HARBORED,1
TERRORIST...DONALD,1
"TRUMP.',",1
@mike_axelrod:,1
forget,1
Report.,1
We,1
won’t.\n#Day5,1
"#ReleaseTheFullMuellerReport',",1
'@Yamiche,1
els…,1
"https://t.co/bWhFnXDmge',",1
after,1
"midterms,",1
fired,1
Jeff,1
Sessions,1
shutting,1
down,1
investigation.\n\nWhen,1
"Wil…',",1
'@MichelleRempel,1
good.,1
because,1
arrested,1
@TomSteyer:,1
NOT,1
exonerated.,1
But,1
knew,1
most,1
corrupt,1
president,1
"history.…',",1
@ChrisJZullo:,1
Absolutely,1
shocked,1
Trump‘s,1
administration,1
reversing,1
their,1
position,1
fully,1
reverse,1
"the…',",1
'Josh,1
correct.,1
scandal,1
isn’t,1
isolation.,1
part,1
larger,1
rise,1
plut…,1
"https://t.co/44hpPPgtro',",1
'@realDonaldTrump,1
@RobotZombiex,1
media,1
apologies,1
sent,1
Mr,1
all…,1
"https://t.co/6ja3cH5Qmx',",1
@GaryRayBetz:,1
So,1
bigoted,1
draft,1
dodging,1
liar,1
besmirching,1
dead,1
war,1
hero,1
staging,1
himself,1
martyr,1
claiming,1
"t…',",1
"""""Donald",1
Vows,1
That,1
Will,1
Be,1
'Party,1
Health,1
Care',1
https://t.co/sDYQjozN8A,1
"https://t.co/rUZDNfVphX"""",",1
@DonnaLeanneGwin:,1
generation,1
witnessing,1
\nthe,1
‘Rebirth,1
America’,1
&amp;\n2nd,1
Greatest,1
Story,1
Ever,1
Told.\n\nDonald,1
Against,1
Odds,1
"becam…',",1
@We_R_TheMedia:,1
Trump👉TIME,1
TO,1
INVESTIGATE,1
THE,1
LEFT,1
FOR,1
'TREASONOUS,1
THINGS',1
\n\nRT,1
won't,1
until,1
TRUE,1
justice,1
"se…"""",",1
'États-Unis\xa0:,1
victoire,1
par,1
K.-O.,1
https://t.co/kXzI2Bk9LD,1
via,1
"@LePoint',",1
@DavidCornDC:,1
president.,1
"https://t.co/IoaWwPDL6V',",1
'@TBamaslamma,1
@vicenews,1
@educate_tv,1
need,1
replace,1
"""""Smollett\'s""""",1
name,1
"""""Trump""""(as",1
Trump),1
"tweet!',",1
@StevenBeschloss:,1
"innocent,",1
Mueller’s,1
totally,1
exonerated,1
"him,",1
really,1
convinced,1
"guilty…',",1
@AnnCoulter:,1
or,1
skin,1
color,1
politics.,1
"https://t.…"""",",1
@PalmerReport:,1
far:\n\n-,1
He’s,1
power,1
crash,1
tree\n-,1
Attacks,1
Capitol,1
Hill\n-,1
"Misspell…',",1
@thehill:,1
Rep.,1
Hakeem,1
Jeffries:,1
"""""Lindsey",1
Graham,1
spent,1
years,1
sidekick,1
"McCain,",1
gets,1
elected,1
"Donald…',",1
'This,1
interesting,1
piece,1
convince,1
following,1
excerpt:,1
"""""Nearly",1
every,1
aspect,1
Trump\'s,1
presidenc…,1
"https://t.co/iNiVOID7e7',",1
@jentaub:,1
kids,1
call,1
“show,1
off.”,1
He,1
ornate,1
"homes,",1
beautiful,1
"wives,",1
"his…',",1
'@BretStephensNYT,1
Fuck,1
&amp;,1
how,1
fucking,1
apology,1
"Democrat',",1
@JavierBlas:,1
INSIDE,1
STORY:,1
national,1
security,1
team,1
deeply,1
divided,1
over,1
whether,1
small,1
group,1
"countr…',",1
@wtbaker1:,1
British,1
"and,",1
much,1
smaller,1
extent,1
"Ukrainians,",1
major,1
foreign,1
powers,1
intervening,1
2016,1
election.,1
"The…',",1
@chrislhayes,1
did,1
research,1
also,1
think,1
do,1
being,1
enormous,1
"asshole.',",1
@DerekCressman:,1
It,1
very,1
disappointing,1
Susan,1
Collins,1
defending,1
America,1
"https://t.co/CAKC5S3Bfo',",1
@Newsweek:,1
role,1
model,1
"kids,",1
nearly,1
40,1
percent,1
say,1
poll,1
https://t.co/jO8BQh1XJb,1
"https://t.co/Jq…',",1
'It,1
less,1
months,1
ago,1
during,1
State,1
Union,1
"address,",1
declared,1
o…,1
"https://t.co/Onqmkho0UF',",1
@EdKrassen:,1
McCain,1
American,1
hero.\n\nIt's,1
despicable,1
United,1
States,1
continues,1
"insult,",1
"defame,",1
"a…"""",",1
@sahilkapur:,1
mostly,1
"forgotten,",1
universal,1
coverage,1
“the,1
government’s,1
gonna,1
for.”\n\nAfter,1
"gett…',",1
'this,1
radiates,1
same,1
energy,1
‘this,1
invitation,1
suck,1
DICK!’,1
g/g/b,1
"https://t.co/DQclJg45E3',",1
@PoliticusSarah:,1
Things,1
great,1
lengths,1
"hide,",1
claims,1
show,1
him,1
"rich',",1
stable,1
"genius',",1
"'tota…"""",",1
'Mueller,1
related…,1
"https://t.co/wkKH65u8pb',",1
"'positive'}]""",1
